Result of the experiment

setting up the experiment with
batch size = 128, hidden nodes = 512, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.0001

During the 10-th epoch:
Training Accuracy = 0.542753
Validation Accuracy = 0.522388
Testing Accuracy = 0.490066

During the 20-th epoch:
Training Accuracy = 0.619288
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 30-th epoch:
Training Accuracy = 0.622372
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 50-th epoch:
Training Accuracy = 0.646482
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 100-th epoch:
Training Accuracy = 0.663022
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 200-th epoch:
Training Accuracy = 0.665265
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 300-th epoch:
Training Accuracy = 0.67704
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 500-th epoch:
Training Accuracy = 0.696103
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 700-th epoch:
Training Accuracy = 0.696103
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 1000-th epoch:
Training Accuracy = 0.696103
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

setting up the experiment with
batch size = 128, hidden nodes = 512, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.574713
Validation Accuracy = 0.517413
Testing Accuracy = 0.488411

During the 20-th epoch:
Training Accuracy = 0.627138
Validation Accuracy = 0.522388
Testing Accuracy = 0.491722

During the 30-th epoch:
Training Accuracy = 0.633305
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 50-th epoch:
Training Accuracy = 0.60499
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 100-th epoch:
Training Accuracy = 0.657976
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 200-th epoch:
Training Accuracy = 0.666106
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 300-th epoch:
Training Accuracy = 0.688814
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 500-th epoch:
Training Accuracy = 0.694701
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 700-th epoch:
Training Accuracy = 0.696103
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 1000-th epoch:
Training Accuracy = 0.648444
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

setting up the experiment with
batch size = 128, hidden nodes = 512, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.581161
Validation Accuracy = 0.519071
Testing Accuracy = 0.491722

During the 20-th epoch:
Training Accuracy = 0.62882
Validation Accuracy = 0.519071
Testing Accuracy = 0.493378

During the 30-th epoch:
Training Accuracy = 0.636669
Validation Accuracy = 0.52073
Testing Accuracy = 0.493378

During the 50-th epoch:
Training Accuracy = 0.644239
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 100-th epoch:
Training Accuracy = 0.663302
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 200-th epoch:
Training Accuracy = 0.679002
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 300-th epoch:
Training Accuracy = 0.682927
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 500-th epoch:
Training Accuracy = 0.694421
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 700-th epoch:
Training Accuracy = 0.696103
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 1000-th epoch:
Training Accuracy = 0.696103
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

setting up the experiment with
batch size = 128, hidden nodes = 512, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.09999999999999998, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.565741
Validation Accuracy = 0.515755
Testing Accuracy = 0.488411

During the 20-th epoch:
Training Accuracy = 0.630782
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 30-th epoch:
Training Accuracy = 0.623773
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 50-th epoch:
Training Accuracy = 0.648164
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 100-th epoch:
Training Accuracy = 0.654892
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 200-th epoch:
Training Accuracy = 0.660779
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 300-th epoch:
Training Accuracy = 0.682647
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 500-th epoch:
Training Accuracy = 0.696103
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 700-th epoch:
Training Accuracy = 0.695823
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 1000-th epoch:
Training Accuracy = 0.696103
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

setting up the experiment with
batch size = 128, hidden nodes = 512, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.19999999999999996, reg_param = 0.0001

During the 10-th epoch:
Training Accuracy = 0.572189
Validation Accuracy = 0.505804
Testing Accuracy = 0.475166

During the 20-th epoch:
Training Accuracy = 0.621531
Validation Accuracy = 0.522388
Testing Accuracy = 0.491722

During the 30-th epoch:
Training Accuracy = 0.598262
Validation Accuracy = 0.52073
Testing Accuracy = 0.493378

During the 50-th epoch:
Training Accuracy = 0.642276
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 100-th epoch:
Training Accuracy = 0.656294
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 200-th epoch:
Training Accuracy = 0.672554
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 300-th epoch:
Training Accuracy = 0.686291
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 500-th epoch:
Training Accuracy = 0.696103
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 700-th epoch:
Training Accuracy = 0.695823
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 1000-th epoch:
Training Accuracy = 0.68573
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

setting up the experiment with
batch size = 128, hidden nodes = 512, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.19999999999999996, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.56462
Validation Accuracy = 0.524046
Testing Accuracy = 0.493378

During the 20-th epoch:
Training Accuracy = 0.621531
Validation Accuracy = 0.52073
Testing Accuracy = 0.493378

During the 30-th epoch:
Training Accuracy = 0.627138
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 50-th epoch:
Training Accuracy = 0.60471
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 100-th epoch:
Training Accuracy = 0.634427
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 200-th epoch:
Training Accuracy = 0.65349
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 300-th epoch:
Training Accuracy = 0.683768
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 500-th epoch:
Training Accuracy = 0.696103
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 700-th epoch:
Training Accuracy = 0.696103
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 1000-th epoch:
Training Accuracy = 0.655733
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

setting up the experiment with
batch size = 128, hidden nodes = 512, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.19999999999999996, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.573031
Validation Accuracy = 0.510779
Testing Accuracy = 0.490066

During the 20-th epoch:
Training Accuracy = 0.627418
Validation Accuracy = 0.52073
Testing Accuracy = 0.493378

During the 30-th epoch:
Training Accuracy = 0.628259
Validation Accuracy = 0.522388
Testing Accuracy = 0.491722

During the 50-th epoch:
Training Accuracy = 0.645641
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 100-th epoch:
Training Accuracy = 0.656855
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 200-th epoch:
Training Accuracy = 0.6776
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 300-th epoch:
Training Accuracy = 0.678161
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 500-th epoch:
Training Accuracy = 0.696103
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 700-th epoch:
Training Accuracy = 0.696103
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 1000-th epoch:
Training Accuracy = 0.696103
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

setting up the experiment with
batch size = 128, hidden nodes = 512, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.19999999999999996, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.563779
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 20-th epoch:
Training Accuracy = 0.617045
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 30-th epoch:
Training Accuracy = 0.606672
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 50-th epoch:
Training Accuracy = 0.642557
Validation Accuracy = 0.52073
Testing Accuracy = 0.493378

During the 100-th epoch:
Training Accuracy = 0.656294
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 200-th epoch:
Training Accuracy = 0.676198
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 300-th epoch:
Training Accuracy = 0.688253
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 500-th epoch:
Training Accuracy = 0.695823
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 700-th epoch:
Training Accuracy = 0.696103
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 1000-th epoch:
Training Accuracy = 0.696103
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

setting up the experiment with
batch size = 128, hidden nodes = 512, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.30000000000000004, reg_param = 0.0001

During the 10-th epoch:
Training Accuracy = 0.58845
Validation Accuracy = 0.517413
Testing Accuracy = 0.495033

During the 20-th epoch:
Training Accuracy = 0.614242
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 30-th epoch:
Training Accuracy = 0.605271
Validation Accuracy = 0.522388
Testing Accuracy = 0.493378

During the 50-th epoch:
Training Accuracy = 0.641155
